	Slide	Region_area	TotalAcc	EpitheliumAcc	EpitheliumF1	Class_Label	Stroma_Area	G3	G4/G5	BN	ST
1304706_00	1304706	1047.0	0.4680038204393505	0.5190677966101694	0.6834030683403067	G3	103	490	149	305	0
1304732_00	1304732	2720.0	0.09852941176470588	0.10124669437098602	0.18387650085763294	G3	73	268	1178	1201	0
1304700_00	1304700	872.0	0.36009174311926606	0.4077922077922078	0.5793357933579336	G3	102	314	83	373	0
1305445_00	1305445	1729.0	0.582995951417004	0.5946902654867257	0.7458379578246392	G4/G5	34	10	1008	677	0
1304716_00	1304716	1343.0	0.3536857781087118	0.3749013417521705	0.5453501722158439	G3	76	475	88	704	0
1304717_00	1304717	1384.0	0.1893063583815029	0.21906354515050167	0.35939643347050754	G3	188	262	326	606	0
1305475_00	1305475	9171.0	0.6534729037182423	0.6925121331176335	0.8183245715846248	G4/G5	517	240	5993	2421	0
1305473_00	1305473	4061.0	0.4159074119674957	0.46235970435258694	0.6323474354174466	G4/G5	408	864	1689	1100	0
1305485_00	1305485	2970.0	0.6461279461279461	0.743798449612403	0.8530784618804178	G4/G5	390	36	1919	625	0
1305453_00	1305453	2415.0	0.12215320910973085	0.17151162790697674	0.29280397022332505	G4/G5	695	612	295	813	0
1305480_00	1305480	3872.0	0.41864669421487605	0.47149505526468877	0.6408381102984779	G4/G5	434	60	1621	1757	0
1305459_00	1305459	5556.0	0.4494240460763139	0.5472277010738549	0.7073654390934844	G4/G5	993	145	2497	1921	0
1305477_00	1305477	503.0	0.44731610337972166	0.5344418052256532	0.696594427244582	G4/G5	82	63	225	133	0
1305477_01	1305477	684.0	0.347953216374269	0.4423791821561338	0.61340206185567	G4/G5	146	42	238	258	0
1304702_00	1304702	529.0	0.32136105860113423	0.3640256959314775	0.5337519623233908	G3	62	170	159	138	0
1305451_00	1305451	767.0	0.7170795306388527	0.7868383404864091	0.8807045636509208	G4/G5	68	107	550	42	0
1305444_00	1305444	702.0	0.6538461538461539	0.7427184466019418	0.8523676880222841	G4/G5	84	11	459	148	0
1305444_01	1305444	743.0	0.5881561238223418	0.6796267496111975	0.8092592592592593	G4/G5	100	10	437	196	0
1305449_00	1305449	5397.0	0.37724661849175467	0.4254074383618888	0.5968924069187921	G4/G5	611	750	2036	2000	0
1305474_00	1305474	4808.0	0.7273294509151415	0.7635371179039301	0.8659155627089266	G4/G5	228	9	3497	1074	0
1305495_00	1305495	3529.0	0.7347690563899122	0.7831470854726669	0.8783875338753389	G4/G5	218	168	2593	550	0
1304705_00	1304705	742.0	0.38544474393531	0.47039473684210525	0.639821029082774	G3	134	286	231	91	0
1305478_00	1305478	1987.0	0.4207347760442879	0.4733861834654587	0.6425826287471176	G4/G5	221	66	836	864	0
1304711_00	1304711	2022.0	0.2166172106824926	0.24886363636363637	0.3985441310282075	G3	262	438	702	620	0
1305461_00	1305461	1332.0	0.4744744744744745	0.5683453237410072	0.7247706422018348	G4/G5	220	67	632	413	0
1305496_00	1305496	2863.0	0.650716032134125	0.6894892672094745	0.816210295728368	G4/G5	161	169	1863	670	0
1305489_00	1305489	754.0	0.5344827586206896	0.5823699421965318	0.7360730593607306	G4/G5	62	27	403	262	0
1305489_01	1305489	1816.0	0.7031938325991189	0.738150289017341	0.849351513136016	G4/G5	86	8	1277	445	0
1305489_02	1305489	693.0	0.7546897546897547	0.8394863563402889	0.9127399650959861	G4/G5	70	0	523	100	0
1305448_00	1305448	6221.0	0.332743931843755	0.3809348546190651	0.5517057569296375	G4/G5	787	227	2070	3137	0
1304723_00	1304723	629.0	0.16534181240063592	0.18604651162790697	0.3137254901960785	G3	70	104	106	349	0
1305482_00	1305482	1826.0	0.5224534501642936	0.5764350453172206	0.7313146799540053	G4/G5	171	21	954	680	0
1304728_00	1304728	508.0	0.14763779527559054	0.16268980477223427	0.2798507462686567	G3	47	75	208	178	0
1305481_00	1305481	4374.0	0.28280749885688156	0.3160449667858968	0.4802950883323626	G4/G5	460	88	1237	2589	0
1304709_00	1304709	2294.0	0.31255448997384483	0.3428981348637016	0.5106837606837608	G3	203	717	659	715	0
1304730_00	1304730	1582.0	0.1820480404551201	0.1837906828334397	0.3105121293800539	G3	15	288	369	910	0
1304704_00	1304704	1036.0	0.32915057915057916	0.361228813559322	0.5307392996108949	G3	92	341	450	153	0
1305484_00	1305484	3781.0	0.5971965088600899	0.6298465829846583	0.7728906383706999	G4/G5	196	262	2258	1065	0
1305457_00	1305457	1937.0	0.12958182756840475	0.13760964912280702	0.2419277108433735	G4/G5	113	56	251	1517	0
1305491_00	1305491	1963.0	0.5787060621497707	0.6039340776182881	0.7530659595624793	G4/G5	82	89	1136	656	0
1305488_00	1305488	583.0	0.7221269296740995	0.7271157167530224	0.842	G4/G5	4	29	421	129	0
1305458_00	1305458	6224.0	0.42561053984575836	0.488294930875576	0.6561803319296508	G4/G5	799	167	2649	2609	0
1305454_00	1305454	4498.0	0.17496665184526455	0.1847417840375587	0.3118684366950664	G4/G5	238	573	787	2900	0
1304729_00	1304729	578.0	0.025951557093425604	0.031055900621118012	0.060240963855421686	G3	95	15	180	288	0
1305455_00	1305455	1490.0	0.5429530201342282	0.5653389238294899	0.7223214285714286	G4/G5	59	71	809	551	0
1305483_00	1305483	879.0	0.3993174061433447	0.4649006622516556	0.6347197106690777	G4/G5	124	56	351	348	0
1304727_00	1304727	2384.0	0.20973154362416108	0.22644927536231885	0.36927621861152143	G3	176	500	416	1292	0
1305487_00	1305487	726.0	0.48484848484848486	0.5935919055649241	0.744973544973545	G4/G5	133	3	352	238	0
1305487_01	1305487	2245.0	0.4334075723830735	0.5290918977705275	0.6920341394025604	G4/G5	406	233	973	633	0
1305450_00	1305450	3762.0	0.28309409888357256	0.3093232645948301	0.47249334516415264	G4/G5	319	857	1065	1521	0
1305497_00	1305497	2956.0	0.6271989174560216	0.6744270643870498	0.805561590267217	G4/G5	207	11	1854	884	0
1304726_00	1304726	3233.0	0.23198267862666255	0.26652452025586354	0.4208754208754209	G3	419	750	639	1425	0
1305493_00	1305493	4415.0	0.5114382785956965	0.5749936338171632	0.7301535974130962	G4/G5	488	404	2258	1265	0
1304720_00	1304720	1376.0	0.23037790697674418	0.2820284697508897	0.4399722414989591	G3	252	317	71	736	0
1305460_00	1305460	6325.0	0.33454545454545453	0.35955819881053525	0.5289338832645919	G4/G5	440	129	2116	3640	0
1305494_00	1305494	6835.0	0.5190929041697147	0.5434216572216266	0.7041778307035824	G4/G5	306	1594	3548	1387	0
1305498_00	1305498	3939.0	0.6826605737496827	0.7006253256904638	0.8239620039834533	G4/G5	101	25	2689	1124	0
1305479_00	1305479	4811.0	0.3494076075659946	0.3700198106977768	0.5401670951156812	G4/G5	268	148	1681	2714	0
1304721_00	1304721	759.0	0.3096179183135705	0.324585635359116	0.4900938477580813	G3	35	235	109	380	0
1305447_00	1305447	2729.0	0.4005130084279956	0.4401933145388643	0.6112975391498882	G4/G5	246	193	1093	1197	0
1305456_00	1305456	5269.0	0.16986145378629722	0.17635467980295566	0.2998324958123953	G4/G5	194	151	895	4029	0
1305472_00	1305472	1693.0	0.5262847017129356	0.5804560260586319	0.7345424567188787	G4/G5	158	387	891	257	0
