	Slide	Region_area	TotalAcc	EpitheliumAcc	EpitheliumF1	Class_Label	Stroma_Area	G3	G4/G5	BN	ST
1304706_00	1304706	1047.0	0.44412607449856734	0.5901015228426396	0.7422186751795691	G3	259	465	39	284	0
1304732_00	1304732	2720.0	0.10992647058823529	0.13919925512104284	0.24438087454025342	G3	572	299	925	924	0
1304700_00	1304700	872.0	0.375	0.4873323397913562	0.655310621242485	G3	201	327	18	326	0
1305445_00	1305445	1729.0	0.558126084441874	0.6605065023956195	0.7955482275350371	G4/G5	268	3	965	493	0
1304716_00	1304716	1343.0	0.3633655994043187	0.42694663167104113	0.598405885959534	G3	200	488	34	621	0
1304717_00	1304717	1384.0	0.3222543352601156	0.40216411181244366	0.5736334405144694	G3	275	446	147	514	0
1305475_00	1305475	9171.0	0.5409442808853996	0.8118147602683685	0.8961343930635838	G4/G5	3060	209	4961	941	0
1305473_00	1305473	4061.0	0.23417877370105886	0.38331318016928656	0.5541958041958042	G4/G5	1580	371	951	1159	0
1305485_00	1305485	2970.0	0.30606060606060603	0.6992307692307692	0.8229968311453145	G4/G5	1670	25	909	366	0
1305453_00	1305453	2415.0	0.01904761904761905	0.033261026753434564	0.06438068579426172	G4/G5	1032	564	46	773	0
1305480_00	1305480	3872.0	0.27169421487603307	0.3871917556128082	0.5582382594852746	G4/G5	1155	44	1052	1621	0
1305459_00	1305459	5556.0	0.2607991360691145	0.4591254752851711	0.6293159609120522	G4/G5	2400	99	1449	1608	0
1305477_00	1305477	503.0	0.1610337972166998	0.34177215189873417	0.5094339622641509	G4/G5	266	52	81	104	0
1305477_01	1305477	684.0	0.09941520467836257	0.16790123456790124	0.2875264270613108	G4/G5	279	110	68	227	0
1304702_00	1304702	529.0	0.3856332703213611	0.46153846153846156	0.631578947368421	G3	87	204	90	148	0
1305451_00	1305451	767.0	0.34419817470664926	0.528	0.6910994764397906	G4/G5	267	186	264	50	0
1305444_00	1305444	702.0	0.3561253561253561	0.6053268765133172	0.7541478129713424	G4/G5	289	48	250	115	0
1305444_01	1305444	743.0	0.4185733512786003	0.5957854406130269	0.7466986794717888	G4/G5	221	48	311	163	0
1305449_00	1305449	5397.0	0.22790439132851584	0.3240252897787144	0.4894548348587346	G4/G5	1601	908	1230	1658	0
1305474_00	1305474	4808.0	0.6472545757071547	0.8952819332566168	0.9447480267152398	G4/G5	1332	8	3112	356	0
1305495_00	1305495	3529.0	0.4239161235477472	0.708668877309332	0.8294981979484335	G4/G5	1418	265	1496	350	0
1304705_00	1304705	742.0	0.29784366576819404	0.4225621414913958	0.5940860215053764	G3	219	221	103	199	0
1305478_00	1305478	1987.0	0.2471061902365375	0.3841940532081377	0.5551158846806105	G4/G5	709	55	491	732	0
1304711_00	1304711	2022.0	0.2354104846686449	0.34593023255813954	0.5140388768898488	G3	646	476	340	560	0
1305461_00	1305461	1332.0	0.31156156156156156	0.4964114832535885	0.6634692246203038	G4/G5	496	111	415	310	0
1305496_00	1305496	2863.0	0.3957387355920363	0.5575787401574803	0.715955766192733	G4/G5	831	453	1133	446	0
1305489_00	1305489	754.0	0.44562334217506633	0.5763293310463122	0.7312295973884657	G4/G5	171	25	336	222	0
1305489_01	1305489	1816.0	0.6035242290748899	0.770745428973277	0.870532168387609	G4/G5	394	12	1096	314	0
1305489_02	1305489	693.0	0.6248196248196248	0.8765182186234818	0.9341963322545846	G4/G5	199	1	433	60	0
1305448_00	1305448	6221.0	0.29914804693779135	0.393446088794926	0.5647094522834167	G4/G5	1491	175	1861	2694	0
1304723_00	1304723	629.0	0.18124006359300476	0.2389937106918239	0.3857868020304569	G3	152	114	33	330	0
1305482_00	1305482	1826.0	0.4019715224534502	0.6512866015971606	0.7888232133261687	G4/G5	699	19	734	374	0
1304728_00	1304728	508.0	0.28937007874015747	0.3567961165048544	0.5259391771019678	G3	96	147	134	131	0
1305481_00	1305481	4374.0	0.16895290352080475	0.2505084745762712	0.4006505828137707	G4/G5	1424	72	739	2139	0
1304709_00	1304709	2294.0	0.3295553618134263	0.4254361283061339	0.5969206474536123	G3	517	756	379	642	0
1304730_00	1304730	1582.0	0.17003792667509482	0.192005710206995	0.3221556886227545	G3	181	269	220	912	0
1304704_00	1304704	1036.0	0.2731660231660232	0.34596577017114916	0.5140781108083561	G3	218	283	339	196	0
1305484_00	1305484	3781.0	0.38957947632901346	0.6140058357649021	0.7608471074380165	G4/G5	1382	131	1473	795	0
1305457_00	1305457	1937.0	0.036654620547238	0.04758713136729222	0.09085092770313499	G4/G5	445	22	71	1399	0
1305491_00	1305491	1963.0	0.46459500764136524	0.5689332501559575	0.7252485089463219	G4/G5	360	140	912	551	0
1305488_00	1305488	583.0	0.5900514579759862	0.6175942549371634	0.7635960044395116	G4/G5	26	72	344	141	0
1305458_00	1305458	6224.0	0.18139460154241646	0.3294426612197257	0.4956101843722564	G4/G5	2797	95	1129	2203	0
1305454_00	1305454	4498.0	0.09515340151178302	0.1193863319386332	0.21330675305257912	G4/G5	913	334	428	2823	0
1304729_00	1304729	578.0	0.00865051903114187	0.012315270935960592	0.024330900243309004	G3	172	5	189	212	0
1305455_00	1305455	1490.0	0.3624161073825503	0.4330392943063352	0.604364857302742	G4/G5	243	56	540	651	0
1305483_00	1305483	879.0	0.2025028441410694	0.31448763250883394	0.47849462365591394	G4/G5	313	30	178	358	0
1304727_00	1304727	2384.0	0.2713926174496644	0.33575505967825636	0.5027195027195027	G3	457	647	103	1177	0
1305487_00	1305487	726.0	0.174931129476584	0.32564102564102565	0.4912959381044487	G4/G5	336	4	127	259	0
1305487_01	1305487	2245.0	0.155902004454343	0.29991431019708653	0.46143704680290054	G4/G5	1078	282	350	535	0
1305450_00	1305450	3762.0	0.11988304093567251	0.1560553633217993	0.2699790481891649	G4/G5	872	787	451	1652	0
1305497_00	1305497	2956.0	0.36535859269282817	0.6146841206602163	0.7613676418752203	G4/G5	1199	15	1080	662	0
1304726_00	1304726	3233.0	0.23352922981750696	0.3188344594594595	0.4835094460454692	G3	865	755	259	1354	0
1305493_00	1305493	4415.0	0.16262740656851643	0.31685789938217124	0.4812332439678285	G4/G5	2149	662	718	886	0
1304720_00	1304720	1376.0	0.18386627906976744	0.25325325325325326	0.4041533546325879	G3	377	253	15	731	0
1305460_00	1305460	6325.0	0.25296442687747034	0.3343083994985374	0.5010961478233636	G4/G5	1539	79	1600	3107	0
1305494_00	1305494	6835.0	0.170592538405267	0.2665142857142857	0.42086266016964446	G4/G5	2460	2218	1166	991	0
1305498_00	1305498	3939.0	0.45950748921045953	0.697226502311248	0.8216068996822514	G4/G5	1343	29	1810	757	0
1305479_00	1305479	4811.0	0.14944917896487217	0.17788223651657595	0.30203738710354966	G4/G5	769	118	719	3205	0
1304721_00	1304721	759.0	0.30434782608695654	0.34789156626506024	0.5162011173184357	G3	95	231	43	390	0
1305447_00	1305447	2729.0	0.3323561744228655	0.4122727272727273	0.5838429353073704	G4/G5	529	162	907	1131	0
1305456_00	1305456	5269.0	0.07325868286202315	0.08404093185281951	0.15505121510343442	G4/G5	676	132	386	4075	0
1305472_00	1305472	1693.0	0.25044300059066743	0.4994110718492344	0.6661429693637078	G4/G5	844	170	424	255	0
1305446_00	1305446	2975.0	0.28403361344537814	0.35281837160751567	0.5216049382716049	G4/G5	580	23	845	1527	0
